ID,Rented Bike Count
0,-2963312980315083.0
1,-2963312980315503.5
2,-2963312980314877.0
3,815.0
4,-2963312980315595.0
5,-2963312980315577.0
6,1567.5
7,-2963312980314667.0
8,-2963312980315683.5
9,1501.0
10,-2963312980316399.5
11,-2963312980314975.5
12,-2963312980315176.5
13,-2963312980314665.5
14,-2963312980315082.5
15,-2963312980314694.5
16,-2963312980315307.0
17,-2963312980315171.0
18,-2963312980315373.0
19,627.5
20,1559.5
21,1347.5
22,-2963312980315307.5
23,-2963312980314978.0
24,-2963312980315386.5
25,-2963312980314497.5
26,-2963312980314748.5
27,-2963312980315444.5
28,-2963312980315534.5
29,-2963312980314854.5
30,779.0
31,1348.5
32,1266.0
33,-2963312980315179.0
34,-2963312980314953.0
35,-2963312980314634.0
36,-2963312980315426.5
37,-2963312980314579.0
38,-2963312980315018.5
39,-2963312980315605.5
40,-2963312980314861.5
41,1527.0
42,-2963312980315369.0
43,-2963312980314776.5
44,-2963312980315587.5
45,-2963312980314649.5
46,-2963312980314658.0
47,-2963312980315261.5
48,-2963312980315153.0
49,-2963312980315276.5
50,-2963312980315438.0
51,-2963312980315318.0
52,-2963312980315486.5
53,-2963312980315658.5
54,-2963312980315949.0
55,-2963312980314593.0
56,-2963312980314918.5
57,942.0
58,-2963312980314973.5
59,-2963312980315510.0
60,-2963312980315677.0
61,-2963312980315899.0
62,-2963312980315767.0
63,-2963312980315258.0
64,-2963312980315501.5
65,730.5
66,-2963312980315040.0
67,-2963312980315282.5
68,-2963312980315170.5
69,836.5
70,-2963312980315583.5
71,661.0
72,1251.0
73,-2963312980314621.5
74,-2963312980314963.5
75,-2963312980316353.5
76,-2963312980315240.0
77,-2963312980315825.0
78,932.5
79,-2963312980315126.0
80,-2963312980314953.5
81,-2963312980315698.0
82,-2963312980315685.0
83,-2963312980314725.5
84,-2963312980315031.5
85,-2963312980315038.0
86,1213.5
87,-2963312980316379.0
88,914.5
89,-2963312980315283.5
90,775.0
91,-2963312980314782.5
92,879.5
93,1552.5
94,-2963312980314806.5
95,743.0
96,-2963312980314996.5
97,-2963312980315603.5
98,-2963312980316480.5
99,1275.5
100,-2963312980315056.5
101,-2963312980315246.0
102,-2963312980315107.0
103,-2963312980314968.0
104,-2963312980315781.5
105,-2963312980316449.5
106,730.5
107,-2963312980315509.0
108,-2963312980315117.5
109,-2963312980315002.5
110,-2963312980314622.0
111,-2963312980315405.0
112,-2963312980315423.5
113,1049.5
114,-2963312980315771.0
115,-2963312980315097.0
116,-2963312980315360.5
117,-2963312980314971.0
